city,state,postal_code,region,country
Henderson,Kentucky,42420,South,United States
Los Angeles,California,90036,West,United States
Fort Lauderdale,Florida,33311,South,United States
Concord,North Carolina,28027,South,United States
Seattle,Washington,98103,West,United States
Fort Worth,Texas,76106,Central,United States
Madison,Wisconsin,53711,Central,United States
West Jordan,Utah,84084,West,United States
San Francisco,California,94109,West,United States
Fremont,Nebraska,68025,Central,United States
Philadelphia,Pennsylvania,19140,East,United States
Orem,Utah,84057,West,United States
Houston,Texas,77095,Central,United States
Richardson,Texas,75080,Central,United States
Naperville,Illinois,60540,Central,United States
Melbourne,Florida,32935,South,United States
Eagan,Minnesota,55122,Central,United States
Westland,Michigan,48185,Central,United States
Dover,Delaware,19901,East,United States
New Albany,Indiana,47150,Central,United States
New York City,New York,10024,East,United States
Troy,New York,12180,East,United States
Chicago,Illinois,60610,Central,United States
Gilbert,Arizona,85234,West,United States
Springfield,Virginia,22153,South,United States
Jackson,Michigan,49201,Central,United States
Memphis,Tennessee,38109,South,United States
Decatur,Alabama,35601,South,United States
Durham,North Carolina,27707,South,United States
Columbia,South Carolina,29203,South,United States
Rochester,Minnesota,55901,Central,United States
Minneapolis,Minnesota,55407,Central,United States
Portland,Oregon,97206,West,United States
Saint Paul,Minnesota,55106,Central,United States
Aurora,Colorado,80013,West,United States
Charlotte,North Carolina,28205,South,United States
Orland Park,Illinois,60462,Central,United States
Columbus,Ohio,43229,East,United States
Bristol,Tennessee,37620,South,United States
Wilmington,Delaware,19805,East,United States
Carrollton,Texas,75007,Central,United States
Bloomington,Illinois,61701,Central,United States
Phoenix,Arizona,85023,West,United States
Richmond,Indiana,47374,Central,United States
Mason,Ohio,45040,East,United States
Parma,Ohio,44134,East,United States
Cleveland,Ohio,44105,East,United States
Woodstock,Georgia,30188,South,United States
Lafayette,Indiana,47905,Central,United States
Utica,New York,13501,East,United States
Lakewood,New Jersey,8701,East,United States
Milwaukee,Wisconsin,53209,Central,United States
Fairfield,Ohio,45014,East,United States
Smyrna,Georgia,30080,South,United States
Anaheim,California,92804,West,United States
Santa Barbara,California,93101,West,United States
Marion,Iowa,52302,Central,United States
Bryan,Texas,77803,Central,United States
Akron,Ohio,44312,East,United States
New Rochelle,New York,10801,East,United States
Chandler,Arizona,85224,West,United States
Florence,Kentucky,41042,South,United States
San Bernardino,California,92404,West,United States
Niagara Falls,New York,14304,East,United States
Cranston,Rhode Island,2920,East,United States
Indianapolis,Indiana,46203,Central,United States
Athens,Georgia,30605,South,United States
Miami,Florida,33180,South,United States
Costa Mesa,California,92627,West,United States
Westminster,California,92683,West,United States
Long Beach,New York,11561,East,United States
Newark,Delaware,19711,East,United States
Plainfield,New Jersey,7060,East,United States
Grand Rapids,Michigan,49505,Central,United States
